Training started at 2026-04-01 10:08:07.631039
================================================================================
Episode 239: Reward=-51016731.35, Cost=51016731.35, Length=1000
Episode 240: Reward=-101856500.16, Cost=101856500.16, Length=1000
Episode 241: Reward=-53162313.30, Cost=53162313.30, Length=1000
Episode 242: Reward=-59165116.27, Cost=59165116.27, Length=1000
Episode 243: Reward=-63231867.21, Cost=63231867.21, Length=1000
Episode 244: Reward=-57235232.38, Cost=57235232.38, Length=1000
Episode 245: Reward=-66902032.54, Cost=66902032.54, Length=1000
Episode 246: Reward=-101142930.56, Cost=101142930.56, Length=1000
Episode 247: Reward=-66113336.98, Cost=66113336.98, Length=1000
Episode 248: Reward=-62885514.52, Cost=62885514.52, Length=1000
Episode 249: Reward=-52588591.46, Cost=52588591.46, Length=1000
Episode 250: Reward=-70310561.68, Cost=70310561.68, Length=1000
Episode 251: Reward=-57639649.94, Cost=57639649.94, Length=1000
Episode 252: Reward=-53887913.61, Cost=53887913.61, Length=1000
Episode 253: Reward=-54416237.35, Cost=54416237.35, Length=1000
Episode 254: Reward=-71378671.27, Cost=71378671.27, Length=1000
Episode 255: Reward=-61648286.61, Cost=61648286.61, Length=1000
Episode 256: Reward=-52165405.72, Cost=52165405.72, Length=1000
Episode 257: Reward=-60511824.51, Cost=60511824.51, Length=1000
Episode 258: Reward=-56467022.48, Cost=56467022.48, Length=1000
Episode 259: Reward=-55045573.34, Cost=55045573.34, Length=1000
Episode 260: Reward=-49653455.94, Cost=49653455.94, Length=1000
Episode 261: Reward=-67984051.01, Cost=67984051.01, Length=1000
Episode 262: Reward=-52928330.76, Cost=52928330.76, Length=1000
Episode 263: Reward=-60946010.93, Cost=60946010.93, Length=1000
Episode 264: Reward=-69697941.49, Cost=69697941.49, Length=1000
Episode 265: Reward=-55829240.13, Cost=55829240.13, Length=1000
Episode 266: Reward=-70157146.60, Cost=70157146.60, Length=1000
Episode 267: Reward=-57378043.97, Cost=57378043.97, Length=1000
Episode 268: Reward=-60441653.39, Cost=60441653.39, Length=1000
Episode 269: Reward=-51937477.99, Cost=51937477.99, Length=1000
Episode 270: Reward=-48317962.44, Cost=48317962.44, Length=1000
Episode 271: Reward=-52466012.81, Cost=52466012.81, Length=1000
Episode 272: Reward=-46589464.75, Cost=46589464.75, Length=1000
Episode 273: Reward=-71134731.96, Cost=71134731.96, Length=1000
Episode 274: Reward=-55732049.30, Cost=55732049.30, Length=1000
Episode 275: Reward=-59635789.53, Cost=59635789.53, Length=1000
Episode 276: Reward=-54212963.80, Cost=54212963.80, Length=1000
Episode 277: Reward=-54764565.09, Cost=54764565.09, Length=1000
Episode 278: Reward=-56550504.14, Cost=56550504.14, Length=1000
Episode 279: Reward=-55691292.11, Cost=55691292.11, Length=1000
Episode 280: Reward=-55153214.24, Cost=55153214.24, Length=1000
Episode 281: Reward=-56380441.70, Cost=56380441.70, Length=1000
Episode 282: Reward=-52043120.25, Cost=52043120.25, Length=1000
Episode 283: Reward=-103387148.27, Cost=103387148.27, Length=1000
Episode 284: Reward=-54539760.50, Cost=54539760.50, Length=1000
Episode 285: Reward=-57017316.78, Cost=57017316.78, Length=1000
Episode 286: Reward=-59880741.53, Cost=59880741.53, Length=1000
Episode 287: Reward=-48125477.63, Cost=48125477.63, Length=1000
Episode 288: Reward=-50760291.18, Cost=50760291.18, Length=1000
Episode 289: Reward=-53072968.82, Cost=53072968.82, Length=1000
Episode 290: Reward=-50980899.73, Cost=50980899.73, Length=1000
Episode 291: Reward=-49945269.59, Cost=49945269.59, Length=1000
Episode 292: Reward=-52212680.02, Cost=52212680.02, Length=1000
Episode 293: Reward=-56219439.54, Cost=56219439.54, Length=1000
Episode 294: Reward=-54084419.56, Cost=54084419.56, Length=1000
Episode 295: Reward=-102724187.92, Cost=102724187.92, Length=1000
Episode 296: Reward=-62485583.88, Cost=62485583.88, Length=1000
Episode 297: Reward=-59804531.62, Cost=59804531.62, Length=1000
Episode 298: Reward=-67074928.26, Cost=67074928.26, Length=1000
