Training started at 2026-04-08 23:46:44.493567
================================================================================
Episode 184: Reward=-268.52, Cost=2685215.96, Length=500
Episode 185: Reward=-269.95, Cost=2699491.29, Length=500
Episode 186: Reward=-267.18, Cost=2671818.53, Length=500
Episode 187: Reward=-359.11, Cost=3591063.38, Length=500
Episode 188: Reward=-269.52, Cost=2695216.06, Length=500
Episode 189: Reward=-269.64, Cost=2696360.59, Length=500
Episode 190: Reward=-269.92, Cost=2699236.94, Length=500
Episode 191: Reward=-267.89, Cost=2678860.88, Length=500
Episode 192: Reward=-267.93, Cost=2679288.16, Length=500
Episode 193: Reward=-326.05, Cost=3260458.44, Length=500
Episode 194: Reward=-338.97, Cost=3389733.68, Length=500
Episode 195: Reward=-307.07, Cost=3070674.57, Length=500
Episode 196: Reward=-265.18, Cost=2651828.98, Length=500
Episode 197: Reward=-267.10, Cost=2671007.75, Length=500
Episode 198: Reward=-268.54, Cost=2685392.51, Length=500
Episode 199: Reward=-267.69, Cost=2676887.79, Length=500
Episode 200: Reward=-270.04, Cost=2700367.46, Length=500
Episode 201: Reward=-271.57, Cost=2715658.26, Length=500
Episode 202: Reward=-274.24, Cost=2742426.28, Length=500
Episode 203: Reward=-268.24, Cost=2682389.32, Length=500
Episode 204: Reward=-272.82, Cost=2728176.79, Length=500
Episode 205: Reward=-274.30, Cost=2742963.59, Length=500
Episode 206: Reward=-274.31, Cost=2743055.53, Length=500
Episode 207: Reward=-274.87, Cost=2748674.75, Length=500
Episode 208: Reward=-275.46, Cost=2754584.20, Length=500
Episode 209: Reward=-273.78, Cost=2737790.33, Length=500
Episode 210: Reward=-279.00, Cost=2789983.86, Length=500
Episode 211: Reward=-278.73, Cost=2787341.52, Length=500
Episode 212: Reward=-274.11, Cost=2741146.09, Length=500
Episode 213: Reward=-278.57, Cost=2785716.02, Length=500
Episode 214: Reward=-275.14, Cost=2751436.56, Length=500
Episode 215: Reward=-275.58, Cost=2755814.20, Length=500
Episode 216: Reward=-274.53, Cost=2745308.80, Length=500
Episode 217: Reward=-273.18, Cost=2731778.88, Length=500
Episode 218: Reward=-279.85, Cost=2798490.16, Length=500
Episode 219: Reward=-273.52, Cost=2735183.28, Length=500
Episode 220: Reward=-272.40, Cost=2724035.18, Length=500
Episode 221: Reward=-268.84, Cost=2688381.13, Length=500
Episode 222: Reward=-272.36, Cost=2723611.68, Length=500
Episode 223: Reward=-271.35, Cost=2713497.60, Length=500
Episode 224: Reward=-265.61, Cost=2656118.38, Length=500
Episode 225: Reward=-271.74, Cost=2717355.03, Length=500
Episode 226: Reward=-269.00, Cost=2690033.06, Length=500
Episode 227: Reward=-374.57, Cost=3745668.50, Length=500
Episode 228: Reward=-276.26, Cost=2762638.78, Length=500
Episode 229: Reward=-267.58, Cost=2675833.66, Length=500
Episode 230: Reward=-271.06, Cost=2710622.04, Length=500
Episode 231: Reward=-277.43, Cost=2774293.23, Length=500
Episode 232: Reward=-269.57, Cost=2695719.30, Length=500
Episode 233: Reward=-270.72, Cost=2707185.26, Length=500
Episode 234: Reward=-274.55, Cost=2745496.82, Length=500
Episode 235: Reward=-270.78, Cost=2707803.66, Length=500
Episode 236: Reward=-270.23, Cost=2702320.90, Length=500
Episode 237: Reward=-269.06, Cost=2690626.73, Length=500
Episode 238: Reward=-268.38, Cost=2683827.68, Length=500
Episode 239: Reward=-273.27, Cost=2732729.53, Length=500
Episode 240: Reward=-271.33, Cost=2713310.10, Length=500
Episode 241: Reward=-279.02, Cost=2790241.52, Length=500
Episode 242: Reward=-270.04, Cost=2700387.34, Length=500
Episode 243: Reward=-275.03, Cost=2750273.59, Length=500
Episode 244: Reward=-264.43, Cost=2644336.89, Length=500
Episode 245: Reward=-269.09, Cost=2690931.06, Length=500
Episode 246: Reward=-271.75, Cost=2717477.00, Length=500
Episode 247: Reward=-269.34, Cost=2693367.25, Length=500
Episode 248: Reward=-275.06, Cost=2750612.73, Length=500
Episode 249: Reward=-272.51, Cost=2725059.21, Length=500
Episode 250: Reward=-276.55, Cost=2765464.05, Length=500
Episode 251: Reward=-271.25, Cost=2712503.94, Length=500
Episode 252: Reward=-274.83, Cost=2748250.12, Length=500
Episode 253: Reward=-274.10, Cost=2741010.24, Length=500
Episode 254: Reward=-273.46, Cost=2734634.88, Length=500
Episode 255: Reward=-269.70, Cost=2697029.03, Length=500
Episode 256: Reward=-271.34, Cost=2713425.96, Length=500
Episode 257: Reward=-269.58, Cost=2695821.84, Length=500
